record_id,source_split,composition_key,log10_sigma,censored,censor_direction
l9v,official_train,Al:0.10000000|F:0.60000000|Li:0.30000000,-6.301029995663981,False,
t0h,official_train,Li:0.33333333|O:0.50000000|Zr:0.16666667,-9.214670164989233,False,
4kt,official_train,Cl:0.57142857|Cr:0.14285714|Li:0.28571429,-10.0,True,<
xas,official_train,Li:0.33333333|S:0.50000000|Sn:0.16666667,-4.823908740944319,False,
kfp,official_train,Ba:0.08333333|Li:0.16666667|O:0.58333333|P:0.16666667,-16.796203144042632,False,
qy4,official_train,Li:0.16666667|Na:0.27777778|S:0.44444444|Ti:0.11111111,-5.055517327849832,False,
00x,official_train,Gd:0.05555556|Li:0.05555556|O:0.66666667|P:0.22222222,-10.0,True,<
9wf,official_train,Er:0.10000000|I:0.60000000|Li:0.30000000,-3.1870866433571443,False,
dmq,official_train,Al:0.14285714|Li:0.42857143|S:0.42857143,-7.882728704344236,False,
uox,official_train,Ga:0.02040816|Li:0.25170068|O:0.54421769|P:0.13605442|Zn:0.04761905,-11.247951552180561,False,
joc,official_train,Li:0.37500000|P:0.12500000|S:0.50000000,-6.585026652029182,False,
mq1,official_train,Li:0.37500000|S:0.50000000|Sb:0.12500000,-8.318758762624412,False,
ssv,official_train,Li:0.37500000|O:0.50000000|P:0.02500000|V:0.10000000,-12.882728704344236,False,
h6c,official_train,Li:0.37500000|O:0.50000000|V:0.12500000,-13.036212172654444,False,
bsa,official_train,Ga:0.25000000|Li:0.25000000|O:0.50000000,-13.619788758288394,False,
mde,official_train,B:0.35294118|F:0.05882353|Li:0.05882353|O:0.52941176,-10.0,True,<
1e9,official_train,Li:0.42857143|S:0.42857143|Sb:0.14285714,-9.0,False,
an2,official_train,Cl:0.15384615|Li:0.46153846|O:0.30769231|Si:0.07692308,-10.0,False,
tka,official_train,Li:0.16666667|N:0.50000000|Si:0.33333333,-7.209714835966758,False,
cdk,official_train,Li:0.33333333|N:0.16666667|O:0.33333333|P:0.16666667,-10.0,True,<
fwz,official_train,Li:0.33333333|S:0.50000000|Si:0.16666667,-5.698970004336019,False,
hln,official_train,Ga:0.20000000|Ge:0.10000000|Li:0.10000000|S:0.60000000,-7.42021640338319,False,
cy2,official_train,La:0.13559322|Li:0.01694915|O:0.63559322|Ti:0.21186441,-3.474955192963155,False,
5tl,official_train,La:0.13025210|Li:0.02941176|O:0.63025210|Ti:0.21008403,-3.354577730650908,False,
u2y,official_train,La:0.12370062|Li:0.04469854|O:0.62370062|Ti:0.20790021,-3.0690509688324767,False,
kxh,official_train,Li:0.06924644|O:0.61303462|Pr:0.11405295|Ti:0.20366599,-6.0,False,
3we,official_train,Li:0.06952965|Nd:0.11247444|O:0.61349693|Ti:0.20449898,-7.096910013008056,False,
5z0,official_train,Al:0.10000000|Li:0.50000000|O:0.40000000,-9.301029995663981,False,
472,official_train,F:0.03448276|Li:0.24137931|N:0.32758621|Nd:0.08620690|O:0.12068966|Si:0.18965517,-9.769551078621726,False,
9zk,official_train,Ga:0.10000000|Li:0.50000000|O:0.40000000,-8.301029995663981,False,
dnt,official_train,Cr:0.05263158|Li:0.10526316|O:0.63157895|P:0.15789474|Ti:0.05263158,-6.355561410532162,False,
g5g,official_train,Cr:0.05263158|Li:0.10526316|O:0.63157895|P:0.15789474|Zr:0.05263158,-6.228412519118745,False,
hpu,official_train,Cr:0.05263158|Hf:0.05263158|Li:0.10526316|O:0.63157895|P:0.15789474,-7.376750709602099,False,
c6h,official_train,Fe:0.05263158|Li:0.10526316|O:0.63157895|P:0.15789474|Ti:0.05263158,-6.476253533188435,False,
vzu,official_train,Fe:0.05263158|Li:0.10526316|O:0.63157895|P:0.15789474|Zr:0.05263158,-6.841637507904751,False,
a3e,official_train,Hf:0.05263158|In:0.05263158|Li:0.10526316|O:0.63157895|P:0.15789474,-7.562249437179612,False,
ubi,official_train,In:0.05263158|Li:0.10526316|O:0.63157895|P:0.15789474|Ti:0.05263158,-5.080921907623926,False,
9z8,official_train,In:0.05263158|Li:0.10526316|O:0.63157895|P:0.15789474|Zr:0.05263158,-7.0851281824599495,False,
nhq,official_train,Li:0.37500000|P:0.12500000|S:0.50000000,-6.049148541111453,False,
w7d,official_train,Li:0.37500000|O:0.50000000|P:0.12500000,-17.3767507096021,False,
fj5,official_train,Li:0.39393939|O:0.48484848|P:0.09090909|Si:0.03030303,-6.347753658996677,False,
gxz,official_train,Li:0.26666667|O:0.53333333|P:0.13333333|Zn:0.06666667,-10.0,True,<
tbu,official_train,Ga:0.03448276|Li:0.24137931|O:0.55172414|P:0.13793103|Zn:0.03448276,-10.0,True,<
uxo,official_train,Li:0.37161290|N:0.01806452|O:0.48129032|P:0.12903226,-12.853871964321762,False,
e6b,official_train,Ge:0.11111111|Li:0.44444444|S:0.44444444,-6.698970004336019,False,
pbz,official_train,Ge:0.08571429|Li:0.42857143|O:0.45714286|V:0.02857143,-5.247183568811729,False,
7ek,official_train,Ge:0.09770115|Li:0.42528736|O:0.45977011|W:0.01724138,-4.42021640338319,False,
86k,official_train,Ca:0.08695652|Li:0.04347826|O:0.65217391|Ta:0.21739130,-8.452225294612177,False,
kmv,official_train,Li:0.44444444|S:0.44444444|Sn:0.11111111,-4.154901959985743,False,
n7a,official_train,Cl:0.63157895|Li:0.26315789|Y:0.05263158|Zr:0.05263158,-2.853871964321762,False,
i6k,official_train,Li:0.07802875|O:0.60985626|Sm:0.10677618|Ti:0.20533881,-6.698970004336019,False,
x94,official_train,Li:0.44444444|S:0.44444444|Si:0.11111111,-7.30715308072277,False,
e6e,official_train,Ge:0.02439024|Li:0.39024390|O:0.48780488|P:0.09756098,-5.943095148663527,False,
ylh,official_train,Ge:0.02439024|Li:0.39024390|O:0.48780488|V:0.09756098,-4.721246399047171,False,
eij,official_train,Ge:0.04761905|Li:0.40476190|O:0.47619048|P:0.07142857,-5.346787486224656,False,
ldd,official_train,Ge:0.04761905|Li:0.40476190|O:0.47619048|V:0.07142857,-6.051098239029787,False,
efb,official_train,Ge:0.06976744|Li:0.41860465|O:0.46511628|P:0.04651163,-4.958607314841775,False,
lcm,official_train,Ge:0.06976744|Li:0.41860465|O:0.46511628|V:0.04651163,-4.496209316942819,False,
mgs,official_train,Ge:0.09090909|Li:0.43181818|O:0.45454545|P:0.02272727,-5.987162775294828,False,
31s,official_train,Ge:0.09090909|Li:0.43181818|O:0.45454545|V:0.02272727,-5.567030709125595,False,
dku,official_train,Li:0.37500000|O:0.50000000|P:0.05000000|V:0.07500000,-12.449771646944907,False,
ndx,official_train,Li:0.37500000|O:0.50000000|P:0.07500000|V:0.05000000,-12.494850021680094,False,
m0j,official_train,Li:0.37500000|O:0.50000000|P:0.10000000|V:0.02500000,-12.688246138944246,False,
9lo,official_train,Li:0.37500000|O:0.50000000|P:0.12500000,-12.756961951313706,False,
dth,official_train,Ge:0.11111111|Li:0.44444444|O:0.44444444,-11.886056647693163,False,
45e,official_train,Br:0.57142857|Li:0.28571429|Mg:0.14285714,-9.10790539730952,False,
x2i,official_train,Bi:0.25000000|Li:0.25000000|O:0.50000000,-7.42021640338319,False,
xz4,official_train,Ce:0.08333333|Li:0.08333333|Mo:0.16666667|O:0.66666667,-7.886056647693163,False,
hja,official_train,Ce:0.04166667|Li:0.08333333|Mo:0.16666667|O:0.66666667|Pr:0.04166667,-9.0,False,
3nb,official_train,Ce:0.04166667|Li:0.08333333|Mo:0.16666667|O:0.66666667|Sm:0.04166667,-9.744727494896694,False,
qa9,official_train,B:0.16666667|Li:0.50000000|N:0.33333333,-9.795880017344075,False,
ihb,official_train,Al:0.00204499|F:0.00204499|La:0.11451943|Li:0.06748466|O:0.61145194|Ti:0.20245399,-3.0087739243075053,False,
3k7,official_train,Al:0.00408998|F:0.00408998|La:0.11451943|Li:0.06748466|O:0.60940695|Ti:0.20040900,-2.9746941347352296,False,
1sz,official_train,Al:0.00613497|F:0.00613497|La:0.11451943|Li:0.06748466|O:0.60736196|Ti:0.19836401,-3.032452023781138,False,
yh8,official_train,Al:0.00817996|F:0.00817996|La:0.11451943|Li:0.06748466|O:0.60531697|Ti:0.19631902,-3.2062096153091812,False,
coh,official_train,Al:0.01022495|F:0.01022495|La:0.11451943|Li:0.06748466|O:0.60327198|Ti:0.19427403,-3.75448733218585,False,
1pw,official_train,Al:0.01226994|F:0.01226994|La:0.11451943|Li:0.06748466|O:0.60122699|Ti:0.19222904,-3.9746941347352296,False,
bw3,official_train,Al:0.01431493|F:0.01431493|La:0.11451943|Li:0.06748466|O:0.59918200|Ti:0.19018405,-3.1904402853647325,False,
my5,official_train,Al:0.01635992|F:0.01635992|La:0.11451943|Li:0.06748466|O:0.59713701|Ti:0.18813906,-3.306273051076353,False,
hta,official_train,La:0.11601643|Li:0.06262834|O:0.61601643|Ti:0.20533881,-3.0190880622231564,False,
s3h,official_train,La:0.10000000|Li:0.10000000|O:0.60000000|Ti:0.20000000,-3.0338582672609675,False,
nua,official_train,La:0.14285714|Li:0.14285714|O:0.57142857|Ti:0.14285714,-10.0,True,<
3rx,official_train,Li:0.14285714|Nd:0.14285714|O:0.57142857|Ti:0.14285714,-10.0,True,<
7e5,official_train,La:0.13829787|Li:0.01063830|Mg:0.10638298|O:0.63829787|W:0.10638298,-6.7447274948966935,False,
sib,official_train,La:0.13291139|Li:0.02320675|Mg:0.10548523|O:0.63291139|W:0.10548523,-5.167491087293763,False,
r99,official_train,La:0.13025210|Li:0.02941176|Mg:0.10504202|O:0.63025210|W:0.10504202,-4.920818753952375,False,
lol,official_train,I:0.10000000|Li:0.40000000|P:0.10000000|S:0.40000000,-3.9208187539523753,False,
d7f,official_train,Bi:0.12500000|Li:0.37500000|O:0.50000000,-9.387216143280265,False,
52b,official_train,Ge:0.04191617|Li:0.40119760|P:0.07784431|S:0.47904192,-1.9136401693252518,False,
8po,official_train,Ge:0.04761905|Li:0.40476190|P:0.07142857|S:0.47619048,-1.8794260687941502,False,
ya8,official_train,Ge:0.05882353|Li:0.41176471|P:0.05882353|S:0.47058824,-1.958607314841775,False,
j8q,official_train,Ge:0.04000000|Li:0.40000000|P:0.08000000|S:0.48000000,-1.91721462968355,False,
824,official_train,Ge:0.05325444|Li:0.40828402|P:0.06508876|S:0.47337278,-1.8416375079047504,False,
mqo,official_train,Li:0.40828402|P:0.06508876|S:0.47337278|Si:0.05325444,-2.171984935776023,False,
izs,official_train,Li:0.41002950|P:0.06194690|S:0.47197640|Si:0.05604720,-2.2781893847874533,False,
8nc,official_train,Li:0.40652819|P:0.06824926|S:0.47477745|Si:0.05044510,-2.2479515521805613,False,
3sx,official_train,Li:0.40476190|P:0.07142857|S:0.47619048|Si:0.04761905,-2.3757179041643317,False,
xga,official_train,Li:0.40011998|P:0.08038392|S:0.47990402|Sn:0.03959208,-2.4282911681913126,False,
xn9,official_train,Li:0.39759036|P:0.08433735|S:0.48192771|Sn:0.03614458,-2.4377071355435254,False,
sg4,official_train,Li:0.39649970|P:0.08690404|S:0.48280024|Sn:0.03379602,-2.360513510731414,False,
ns3,official_train,Li:0.39540508|P:0.08827086|S:0.48367594|Sn:0.03264813,-2.3045183235098023,False,
g8j,official_train,Li:0.39467312|P:0.08958838|S:0.48426150|Sn:0.03147700,-2.343901797987168,False,
bim,official_train,Li:0.39393939|P:0.09090909|S:0.48484848|Sn:0.03030303,-2.4436974992327127,False,
02p,official_train,Li:0.40000000|P:0.08000000|S:0.48000000|Si:0.04000000,-2.638272163982407,False,
9lx,official_train,Li:0.40000000|P:0.08000000|S:0.48000000|Sn:0.04000000,-2.154901959985743,False,
mtn,official_train,Ge:0.04000000|Li:0.40000000|P:0.08000000|S:0.48000000,-1.609064892896621,False,
9rc,official_train,Ge:0.03100000|Li:0.40000000|P:0.08000000|S:0.48000000|Sn:0.00900000,-1.85078088734462,False,
13q,official_train,Li:0.40000000|P:0.08000000|S:0.48000000|Sn:0.04000000,-2.4001169279263124,False,
ik8,official_train,Ge:0.01660000|Li:0.40000000|P:0.08000000|S:0.48000000|Sn:0.02340000,-2.1290111862394245,False,
nip,official_train,Li:0.39540508|P:0.08827086|S:0.48367594|Sn:0.03264813,-2.2596373105057563,False,
1hh,official_train,Ge:0.04000000|Li:0.40000000|P:0.08000000|S:0.48000000,-1.9208187539523751,False,
8ub,official_train,Li:0.41176471|P:0.05882353|S:0.47058824|Si:0.04705882|Sn:0.01176471,-2.0560111249262283,False,
7tu,official_train,Li:0.40476190|P:0.07142857|S:0.47619048|Si:0.03809524|Sn:0.00952381,-2.106793246940152,False,
ui6,official_train,Li:0.40828402|P:0.06508876|S:0.47337278|Si:0.04260355|Sn:0.01065089,-1.958607314841775,False,
nkr,official_train,Ge:0.04000000|Li:0.40000000|P:0.08000000|S:0.48000000,-2.844663962534938,False,
906,official_train,Ba:0.00401606|Ge:0.04016064|Li:0.39357430|P:0.08032129|S:0.48192771,-3.251037138743839,False,
fnu,official_train,Ba:0.00806452|Ge:0.04032258|Li:0.38709677|P:0.08064516|S:0.48387097,-3.2426039712069756,False,
pfi,official_train,Ba:0.01214575|Ge:0.04048583|Li:0.38056680|P:0.08097166|S:0.48582996,-3.1505805862031004,False,
f0h,official_train,Ba:0.01626016|Ge:0.04065041|Li:0.37398374|P:0.08130081|S:0.48780488,-3.500312917381596,False,
7iw,official_train,Ba:0.02040816|Ge:0.04081633|Li:0.36734694|P:0.08163265|S:0.48979592,-4.000869458712629,False,
ikh,official_train,Li:0.39024390|P:0.12195122|S:0.48780488,-2.9208187539523753,False,
hd3,official_train,Ge:0.05882353|Li:0.41176471|P:0.05882353|S:0.47058824,-2.154901959985743,False,
ete,official_train,Cl:0.01213592|Li:0.38592233|P:0.05825243|S:0.47330097|Si:0.07038835,-1.6020599913279623,False,
k4x,official_train,Li:0.40828402|P:0.06508876|S:0.47337278|Si:0.05325444,-2.1870866433571443,False,
ia5,official_train,La:0.09090909|Li:0.09090909|Nb:0.18181818|O:0.63636364,-8.0,True,<
sg0,official_train,Li:0.25000000|O:0.50000000|Sc:0.25000000,-10.0,True,<
97b,official_train,Li:0.23076923|O:0.51282051|Sc:0.23076923|Zr:0.02564103,-10.0,True,<
wyu,official_train,La:0.12500000|Li:0.29166667|O:0.50000000|Zr:0.08333333,-5.787812395596042,False,
019,official_train,Li:0.05555556|O:0.66666667|P:0.16666667|Ti:0.11111111,-3.7931741239681505,False,
yqu,official_train,Al:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,-2.3169529617611504,False,
95j,official_train,Al:0.10000000|H:0.60000000|Li:0.30000000,-6.853871964321762,False,
0iv,official_train,Li:0.33333333|P:0.16666667|S:0.50000000,-6.623423042943488,False,
2ro,official_train,Li:0.33333333|P:0.16666667|S:0.50000000,-9.795880017344075,False,
deu,official_train,Al:0.04255319|Ge:0.06382979|Li:0.46808511|S:0.42553191,-4.366531544420414,False,
usu,official_train,Al:0.04255319|Li:0.46808511|S:0.42553191|Sn:0.06382979,-5.366531544420414,False,
ur9,official_train,Li:0.05555556|O:0.66666667|P:0.16666667|Zr:0.11111111,-9.0,False,
0o6,official_train,Li:0.06593407|O:0.65934066|P:0.16483516|Sc:0.01098901|Ti:0.09890110,-4.000869458712629,False,
a3l,official_train,Hf:0.11111111|Li:0.05555556|O:0.66666667|P:0.16666667,-6.54821356447571,False,
4ba,official_train,Ge:0.11111111|Li:0.05555556|O:0.66666667|P:0.16666667,-6.47755576649368,False,
qea,official_train,Li:0.05555556|O:0.66666667|P:0.16666667|Ti:0.11111111,-5.698970004336019,False,
ldx,official_train,Ge:0.11111111|Li:0.05555556|O:0.66666667|P:0.16666667,-8.316052869248487,False,
0fh,official_train,Al:0.01098901|Ge:0.09890110|Li:0.06593407|O:0.65934066|P:0.16483516,-4.316052869248487,False,
gw2,official_train,Al:0.02173913|Ge:0.08695652|Li:0.07608696|O:0.65217391|P:0.16304348,-3.72584215073632,False,
1xf,official_train,Al:0.02702703|Ge:0.08108108|Li:0.08108108|O:0.64864865|P:0.16216216,-3.473660722610156,False,
tjh,official_train,Al:0.03743316|Ge:0.06951872|Li:0.09090909|O:0.64171123|P:0.16042781,-3.5783960731301687,False,
8fn,official_train,Al:0.04255319|Ge:0.06382979|Li:0.09574468|O:0.63829787|P:0.15957447,-3.8632794328435933,False,
mdj,official_train,Li:0.06593407|O:0.65934066|P:0.15384615|Si:0.01098901|Ti:0.10989011,-4.0655015487564325,False,
t1l,official_train,Li:0.07103825|O:0.65573770|P:0.14754098|Si:0.01639344|Ti:0.10928962,-3.494850021680094,False,
my9,official_train,Al:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,-3.2254830342714502,False,
9s4,official_train,Al:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,-3.141462802430361,False,
iqt,official_train,Al:0.02173913|Li:0.07608696|O:0.65217391|P:0.16304348|Ti:0.08695652,-3.4111682744057927,False,
xa0,official_train,Al:0.02702703|Li:0.08108108|O:0.64864865|P:0.16216216|Ti:0.08108108,-3.6055483191737836,False,
f4x,official_train,Cr:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,-4.739928612014925,False,
txm,official_train,Cr:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,-4.454692883534176,False,
v1t,official_train,Cr:0.02173913|Li:0.07608696|O:0.65217391|P:0.16304348|Ti:0.08695652,-3.826813731587726,False,
d6b,official_train,Cr:0.02702703|Li:0.08108108|O:0.64864865|P:0.16216216|Ti:0.08108108,-3.413412695328245,False,
x9a,official_train,Ga:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,-3.7904849854573692,False,
3ta,official_train,Ga:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,-3.583359492661719,False,
gjy,official_train,Ga:0.02173913|Li:0.07608696|O:0.65217391|P:0.16304348|Ti:0.08695652,-3.8927900303521317,False,
lz8,official_train,Ga:0.02702703|Li:0.08108108|O:0.64864865|P:0.16216216|Ti:0.08108108,-3.9136401693252516,False,
6st,official_train,Fe:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,-3.744727494896694,False,
t9r,official_train,Fe:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,-3.6090648928966207,False,
xr7,official_train,Fe:0.02173913|Li:0.07608696|O:0.65217391|P:0.16304348|Ti:0.08695652,-3.406713932979543,False,
pg8,official_train,Fe:0.02702703|Li:0.08108108|O:0.64864865|P:0.16216216|Ti:0.08108108,-3.7594507517174,False,
1wm,official_train,Li:0.06593407|O:0.65934066|P:0.16483516|Sc:0.01098901|Ti:0.09890110,-3.161150909262745,False,
do2,official_train,Li:0.07103825|O:0.65573770|P:0.16393443|Sc:0.01639344|Ti:0.09289617,-3.153044674980176,False,
uaj,official_train,Li:0.07608696|O:0.65217391|P:0.16304348|Sc:0.02173913|Ti:0.08695652,-3.288192770958809,False,
5u3,official_train,In:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,-3.408935392973501,False,
2eq,official_train,In:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,-3.4056074496245734,False,
yn6,official_train,In:0.02173913|Li:0.07608696|O:0.65217391|P:0.16304348|Ti:0.08695652,-3.5199930570428495,False,
8jy,official_train,In:0.02702703|Li:0.08108108|O:0.64864865|P:0.16216216|Ti:0.08108108,-3.6903698325741012,False,
p4l,official_train,La:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,-4.096910013008056,False,
qkr,official_train,La:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,-3.281498311132726,False,
e0z,official_train,La:0.02173913|Li:0.07608696|O:0.65217391|P:0.16304348|Ti:0.08695652,-3.3027706572402824,False,
vus,official_train,La:0.02702703|Li:0.08108108|O:0.64864865|P:0.16216216|Ti:0.08108108,-3.55129368009492,False,
h7r,official_train,Li:0.05555556|O:0.66666667|P:0.16666667|Sn:0.03333333|Ti:0.07777778,-4.642065152999546,False,
9ky,official_train,Li:0.05555556|O:0.66666667|P:0.16666667|Sn:0.07777778|Ti:0.03333333,-5.025949097207123,False,
4ea,official_train,Li:0.05555556|O:0.66666667|P:0.16666667|Sn:0.08888889|Ti:0.02222222,-5.501689446210399,False,
z7n,official_train,Hf:0.11371892|Li:0.04805812|O:0.67057837|P:0.16764459,-7.036212172654444,False,
7kf,official_train,Al:0.01612903|Li:0.09139785|O:0.64516129|P:0.16129032|Ti:0.08602151,-2.9136401693252516,False,
i8k,official_train,In:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,-4.0851281824599495,False,
hzf,official_train,Al:0.01092896|Li:0.07103825|O:0.65573770|P:0.16393443|Sc:0.00546448|Ti:0.09289617,-3.0123337350737254,False,
x61,official_train,Al:0.00819672|Li:0.07103825|O:0.65573770|P:0.16393443|Sc:0.00819672|Ti:0.09289617,-2.906578314837765,False,
czo,official_train,Al:0.00546448|Li:0.07103825|O:0.65573770|P:0.16393443|Sc:0.01092896|Ti:0.09289617,-3.3675427078152755,False,
o8s,official_train,Li:0.07103825|O:0.65573770|P:0.16393443|Sc:0.01639344|Ti:0.09289617,-3.344861565188618,False,
lap,official_train,Al:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,-2.9469215565165805,False,
yp3,official_train,Li:0.05555556|O:0.66666667|P:0.16666667|Ti:0.11111111,-4.221848749616356,False,
tzl,official_train,Al:0.00277008|Li:0.05817175|O:0.66481994|P:0.16620499|Ti:0.10803324,-2.958607314841775,False,
hyj,official_train,Al:0.00552486|Li:0.06077348|O:0.66298343|P:0.16574586|Ti:0.10497238,-3.1739251972991736,False,
mg4,official_train,Al:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,-2.207608310501746,False,
50s,official_train,Al:0.02173913|Li:0.07608696|O:0.65217391|P:0.16304348|Ti:0.08695652,-2.4814860601221125,False,
d4q,official_train,Cr:0.00277008|Li:0.05817175|O:0.66481994|P:0.16620499|Ti:0.10803324,-3.744727494896694,False,
6he,official_train,Cr:0.00552486|Li:0.06077348|O:0.66298343|P:0.16574586|Ti:0.10497238,-3.5850266520291822,False,
pwy,official_train,Cr:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,-3.3665315444204134,False,
y9l,official_train,Cr:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,-3.537602002101044,False,
rc1,official_train,Fe:0.00277008|Li:0.05817175|O:0.66481994|P:0.16620499|Ti:0.10803324,-3.886056647693163,False,
lzt,official_train,Fe:0.00552486|Li:0.06077348|O:0.66298343|P:0.16574586|Ti:0.10497238,-3.2006594505464183,False,
kbp,official_train,Fe:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,-2.853871964321762,False,
b9u,official_train,Fe:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,-2.638272163982407,False,
3uq,official_train,Al:0.01639344|Ge:0.09289617|Li:0.07103825|O:0.65573770|P:0.16393443,-4.084072788302884,False,
1dm,official_train,Al:0.03225806|Ge:0.07526882|Li:0.08602151|O:0.64516129|P:0.16129032,-3.5466816599529625,False,
rg6,official_train,Al:0.02173913|Li:0.07608696|O:0.65217391|P:0.16304348|Ti:0.08695652,-2.4710832997223453,False,
ed4,official_train,Al:0.01098901|Ge:0.09890110|Li:0.06593407|O:0.65934066|P:0.16483516,-4.100179497572904,False,
vg0,official_train,Al:0.02702703|Ge:0.08108108|Li:0.08108108|O:0.64864865|P:0.16216216,-3.721246399047171,False,
z9y,official_train,Al:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,-2.4710832997223453,False,
w3n,official_train,Al:0.02173913|Li:0.07608696|O:0.65217391|P:0.16304348|Ti:0.08695652,-2.9507819773298185,False,
ym6,official_train,Al:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,-2.91721462968355,False,
nng,official_train,Al:0.03225806|Ge:0.04301075|Li:0.08602151|O:0.64516129|P:0.16129032|Ti:0.03225806,-3.154901959985743,False,
